sku_id,brand_id,品牌,category_id,类目,型号,商品名,子类,品牌来源地,目标区域版,额定电压,额定频率,插头类型,功率W,认证标识,尺寸,安装/使用要求,风险级别,保修模式,保修备注,高频客服需求,高风险知识,必须RAG,china_usability,china_voltage_note,china_plug_adapter,warranty_type,warranty_duration_days,return_policy_type,import_channel,sales_rule_return,sales_rule_return_window_days,importer_name
SKU-FISH-FDR-UK,BR08,Fisher & Paykel,CAT04,冰箱/酒柜,FISH-FDR-UK-2028,法式多门冰箱,french_door_fridge,新西兰,UK,220-240V,50Hz,Type G,250,UKCA/CE,90x178x75cm,需预留散热空间，运输后静置再开机,高,regional_only,同大区适用，跨大区需人工复核,搬运静置；门体损伤；散热距离；保修地域；降价争议,Y,Y,need_adapter,电压 220V 匹配；插头需专业改装（嵌入式/大功率家电不建议长期依赖转接头）,Type G → GB 2099 三极转接头（16A 以上认证；高功率机型建议切掉原插头做专业改线）,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,斐雪派克亚太（合成）
SKU-FISH-WCN-AU,BR08,Fisher & Paykel,CAT04,冰箱/酒柜,FISH-WCN-AU-2029,恒温酒柜,wine_cooler,新西兰,AU,220-240V,50Hz,Type I,120,RCM,60x82x58cm,需预留散热空间，运输后静置再开机,高,regional_only,同大区适用，跨大区需人工复核,搬运静置；门体损伤；散热距离；保修地域；降价争议,Y,Y,direct,电压 220V 与中国家用标准一致，可直接使用,无需转接头（Type I 与中国 GB 2099 物理兼容）,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,斐雪派克亚太（合成）
SKU-AEG-WFL-EU,BR09,AEG,CAT05,洗衣机/烘干机,AEG-WFL-EU-2027,前开门洗衣机,front_loader,德国品牌,EU,220-240V,50Hz,Type F,2000,CE,60x85x60cm,需预留进排水/排风/电源，拆除运输螺栓,极高,regional_only,同大区适用，跨大区需人工复核,安装条件；运输螺栓；进排水/排风；签收破损；保修地域,Y,Y,need_adapter,电压 220V 匹配；插头需专业改装（嵌入式/大功率家电不建议长期依赖转接头）,Type F → GB 2099 三极转接头（16A 以上认证；高功率机型建议切掉原插头做专业改线）,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,AEG 东南亚转口（合成）
SKU-AEG-HPD-UK,BR09,AEG,CAT05,洗衣机/烘干机,AEG-HPD-UK-2028,热泵烘干机,heat_pump_dryer,德国品牌,UK,220-240V,50Hz,Type G,850,UKCA/CE,60x85x66cm,需预留进排水/排风/电源，拆除运输螺栓,极高,regional_only,同大区适用，跨大区需人工复核,安装条件；运输螺栓；进排水/排风；签收破损；保修地域,Y,Y,need_adapter,电压 220V 匹配；插头需专业改装（嵌入式/大功率家电不建议长期依赖转接头）,Type G → GB 2099 三极转接头（16A 以上认证；高功率机型建议切掉原插头做专业改线）,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,AEG 东南亚转口（合成）
SKU-AEG-WDC-EU,BR09,AEG,CAT05,洗衣机/烘干机,AEG-WDC-EU-2029,洗烘一体机,washer_dryer_combo,德国品牌,EU,220-240V,50Hz,Type F,2200,CE,60x85x64cm,需预留进排水/排风/电源，拆除运输螺栓,极高,regional_only,同大区适用，跨大区需人工复核,安装条件；运输螺栓；进排水/排风；签收破损；保修地域,Y,Y,need_adapter,电压 220V 匹配；插头需专业改装（嵌入式/大功率家电不建议长期依赖转接头）,Type F → GB 2099 三极转接头（16A 以上认证；高功率机型建议切掉原插头做专业改线）,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,AEG 东南亚转口（合成）
SKU-ELEC-WFL-US,BR10,Electrolux,CAT05,洗衣机/烘干机,ELEC-WFL-US-2027,前开门洗衣机,front_loader,瑞典,US,120V,60Hz,Type B,2000,UL/ETL,60x85x60cm,需预留进排水/排风/电源，拆除运输螺栓,极高,regional_only,同大区适用，跨大区需人工复核,安装条件；运输螺栓；进排水/排风；签收破损；保修地域,Y,Y,not_recommended,120V 进口版，功率 2000W；家用 220→120V 变压器最大约 2000-3000W 仍留余量不足，长期使用存在发热/烧毁风险,不建议,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,伊莱克斯东南亚（合成）
SKU-ELEC-HPD-EU,BR10,Electrolux,CAT05,洗衣机/烘干机,ELEC-HPD-EU-2028,热泵烘干机,heat_pump_dryer,瑞典,EU,220-240V,50Hz,Type F,850,CE,60x85x66cm,需预留进排水/排风/电源，拆除运输螺栓,极高,regional_only,同大区适用，跨大区需人工复核,安装条件；运输螺栓；进排水/排风；签收破损；保修地域,Y,Y,need_adapter,电压 220V 匹配；插头需专业改装（嵌入式/大功率家电不建议长期依赖转接头）,Type F → GB 2099 三极转接头（16A 以上认证；高功率机型建议切掉原插头做专业改线）,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,伊莱克斯东南亚（合成）
SKU-ELEC-WDC-UK,BR10,Electrolux,CAT05,洗衣机/烘干机,ELEC-WDC-UK-2029,洗烘一体机,washer_dryer_combo,瑞典,UK,220-240V,50Hz,Type G,2200,UKCA/CE,60x85x64cm,需预留进排水/排风/电源，拆除运输螺栓,极高,regional_only,同大区适用，跨大区需人工复核,安装条件；运输螺栓；进排水/排风；签收破损；保修地域,Y,Y,need_adapter,电压 220V 匹配；插头需专业改装（嵌入式/大功率家电不建议长期依赖转接头）,Type G → GB 2099 三极转接头（16A 以上认证；高功率机型建议切掉原插头做专业改线）,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,伊莱克斯东南亚（合成）
SKU-DYSO-RVC-US,BR11,Dyson,CAT06,地面清洁设备,DYSO-RVC-US-2027,扫拖机器人,robot_vacuum,英国,US,120V,60Hz,Type B,65,UL/ETL,35x10x35cm,台面摆放，需核对电压/频率/插头与散热距离,中,global_limited_small_appliance,全球有限保修，序列号+发票必需,兼容性；电池/充电；建图配网；配件耗材；降价争议,Y,Y,need_transformer_and_adapter,120V 进口版；中国家用电压 220V/50Hz。需配 220V→120V 降压变压器（建议 1500W 以上）,Type B → GB 2099 转接头,brand_global,730,quality_only,official_distributor,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,戴森中国（合成）
SKU-DYSO-CDV-EU,BR11,Dyson,CAT06,地面清洁设备,DYSO-CDV-EU-2028,无线吸尘器,cordless_vacuum,英国,EU,220-240V,50Hz,Type F,545,CE,25x125x27cm,台面摆放，需核对电压/频率/插头与散热距离,中,global_limited_small_appliance,全球有限保修，序列号+发票必需,兼容性；电池/充电；建图配网；配件耗材；降价争议,Y,Y,need_adapter,电压 220V 与中国家用标准一致,Type F → GB 2099 三极转接头（10A 及以上认证即可满足小电器）,brand_global,730,quality_only,official_distributor,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,戴森中国（合成）
SKU-DYSO-WFW-UK,BR11,Dyson,CAT06,地面清洁设备,DYSO-WFW-UK-2029,洗地机,wet_floor_washer,英国,UK,220-240V,50Hz,Type G,250,UKCA/CE,32x120x28cm,台面摆放，需核对电压/频率/插头与散热距离,中,global_limited_small_appliance,全球有限保修，序列号+发票必需,兼容性；电池/充电；建图配网；配件耗材；降价争议,Y,Y,need_adapter,电压 220V 与中国家用标准一致,Type G → GB 2099 三极转接头（10A 及以上认证即可满足小电器）,brand_global,730,quality_only,official_distributor,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,戴森中国（合成）
SKU-IROB-RVC-US,BR12,iRobot,CAT06,地面清洁设备,IROB-RVC-US-2027,扫拖机器人,robot_vacuum,美国,US,120V,60Hz,Type B,65,UL/ETL,35x10x35cm,台面摆放，需核对电压/频率/插头与散热距离,中,regional_only,同大区适用，跨大区需人工复核,兼容性；电池/充电；建图配网；配件耗材；降价争议,Y,Y,need_transformer_and_adapter,120V 进口版；中国家用电压 220V/50Hz。需配 220V→120V 降压变压器（建议 1500W 以上）,Type B → GB 2099 转接头,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,iRobot 亚太代理（合成）
SKU-IROB-CDV-EU,BR12,iRobot,CAT06,地面清洁设备,IROB-CDV-EU-2028,无线吸尘器,cordless_vacuum,美国,EU,220-240V,50Hz,Type F,545,CE,25x125x27cm,台面摆放，需核对电压/频率/插头与散热距离,中,regional_only,同大区适用，跨大区需人工复核,兼容性；电池/充电；建图配网；配件耗材；降价争议,Y,Y,need_adapter,电压 220V 与中国家用标准一致,Type F → GB 2099 三极转接头（10A 及以上认证即可满足小电器）,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,iRobot 亚太代理（合成）
SKU-IROB-WFW-UK,BR12,iRobot,CAT06,地面清洁设备,IROB-WFW-UK-2029,洗地机,wet_floor_washer,美国,UK,220-240V,50Hz,Type G,250,UKCA/CE,32x120x28cm,台面摆放，需核对电压/频率/插头与散热距离,中,regional_only,同大区适用，跨大区需人工复核,兼容性；电池/充电；建图配网；配件耗材；降价争议,Y,Y,need_adapter,电压 220V 与中国家用标准一致,Type G → GB 2099 三极转接头（10A 及以上认证即可满足小电器）,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,iRobot 亚太代理（合成）
SKU-BLUE-TAP-US,BR13,Blueair,CAT07,空气净化器,BLUE-TAP-US-2027,塔式空气净化器,tower_purifier,瑞典,US,120V,60Hz,Type B,55,UL/ETL,31x72x31cm,台面摆放，需核对电压/频率/插头与散热距离,中,global_limited_small_appliance,全球有限保修，序列号+发票必需,兼容性；滤网更换；净化面积；噪音/异味；保修地域,Y,Y,need_transformer_and_adapter,120V 进口版；中国家用电压 220V/50Hz。需配 220V→120V 降压变压器（建议 1500W 以上）,Type B → GB 2099 转接头,importer_with_brand_support,365,quality_only,official_distributor,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,布鲁雅尔中国（合成）
SKU-BLUE-HEP-EU,BR13,Blueair,CAT07,空气净化器,BLUE-HEP-EU-2028,HEPA空气净化器,hepa_purifier,瑞典,EU,220-240V,50Hz,Type F,42,CE,30x58x30cm,台面摆放，需核对电压/频率/插头与散热距离,中,global_limited_small_appliance,全球有限保修，序列号+发票必需,兼容性；滤网更换；净化面积；噪音/异味；保修地域,Y,Y,need_adapter,电压 220V 与中国家用标准一致,Type F → GB 2099 三极转接头（10A 及以上认证即可满足小电器）,importer_with_brand_support,365,quality_only,official_distributor,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,布鲁雅尔中国（合成）
