shipment_id,order_id,tracking_no,carrier_name,transport_mode,origin_hub,destination_city,destination_region,current_status,current_node_label,customs_status,current_node_detail,last_update_at,eta_start,eta_end,outbound_at,customs_released_at,delivered_at,abnormal_flag,abnormal_reason,tracking_summary
SHP-0047,ORD-2026-0047,TRK2026030047,OceanBridge,sea,新加坡港口集货仓,广州,华南,out_for_delivery,国内派送中,released,末端快递已派件,2026-04-07T21:35:00,2026-04-21T21:35:00,2026-04-30T21:35:00,2026-04-05T21:35:00,2026-04-18T21:35:00,,none,,TRK2026030047 当前处于 国内派送中，客服可引用运输说明卡稳定预期。
SHP-0048,ORD-2026-0048,TRK2026030048,OceanBridge,sea,新加坡港口集货仓,厦门,华南,label_created,等待干线出库,pending,订单已建单，等待仓库出库,2026-04-09T15:35:00,2026-04-22T15:35:00,2026-05-01T15:35:00,2026-04-06T15:35:00,2026-04-19T15:35:00,,none,,TRK2026030048 当前处于 等待干线出库，客服可引用运输说明卡稳定预期。
SHP-0049,ORD-2026-0049,TRK2026030049,OceanBridge,sea,新加坡/马来西亚港口集货仓,成都,西南,exception,物流异常待复核,pending,出现箱体破损或转运延迟，需要人工排查,2026-04-11T09:35:00,2026-04-23T09:35:00,2026-05-02T09:35:00,2026-04-07T09:35:00,2026-04-20T09:35:00,,delay,箱体压痕待核查,TRK2026030049 当前处于 物流异常待复核，客服可引用运输说明卡稳定预期。
SHP-0050,ORD-2026-0050,TRK2026030050,OceanBridge,sea,新加坡/马来西亚港口集货仓,重庆,西南,cancelled,订单已取消,pending,用户取消或支付失败后终止发运,2026-04-13T03:35:00,2026-04-24T03:35:00,2026-05-03T03:35:00,2026-04-08T03:35:00,2026-04-21T03:35:00,,cancel,,TRK2026030050 当前处于 订单已取消，客服可引用运输说明卡稳定预期。
SHP-0051,ORD-2026-0051,TRK2026030051,OceanBridge,sea,新加坡/马来西亚港口集货仓,上海,华东,delivered,末端签收完成,released,签收成功，建议引导确认是否存在外观/功能问题,2026-04-14T21:35:00,2026-04-24T21:35:00,2026-05-03T21:35:00,2026-04-08T21:35:00,2026-04-21T21:35:00,2026-04-25 21:35:00,none,,TRK2026030051 当前处于 末端签收完成，客服可引用运输说明卡稳定预期。
SHP-0052,ORD-2026-0052,TRK2026030052,OceanBridge,sea,新加坡/马来西亚港口集货仓,杭州,华东,delivered,末端签收完成,released,签收成功，建议引导确认是否存在外观/功能问题,2026-04-16T15:35:00,2026-04-25T15:35:00,2026-05-04T15:35:00,2026-04-09T15:35:00,2026-04-22T15:35:00,2026-04-26 15:35:00,none,,TRK2026030052 当前处于 末端签收完成，客服可引用运输说明卡稳定预期。
SHP-0053,ORD-2026-0053,TRK2026030053,OceanBridge,sea,新加坡/马来西亚港口集货仓,苏州,华东,delivered,末端签收完成,released,签收成功，建议引导确认是否存在外观/功能问题,2026-04-18T09:35:00,2026-04-26T09:35:00,2026-05-05T09:35:00,2026-04-10T09:35:00,2026-04-23T09:35:00,2026-04-27 09:35:00,none,,TRK2026030053 当前处于 末端签收完成，客服可引用运输说明卡稳定预期。
SHP-0054,ORD-2026-0054,TRK2026030054,OceanBridge,sea,新加坡/马来西亚港口集货仓,北京,华北,in_transit,干线运输中,released,跨境运输途中，暂无异常,2026-04-20T03:35:00,2026-04-27T03:35:00,2026-05-06T03:35:00,2026-04-11T03:35:00,2026-04-24T03:35:00,,none,,TRK2026030054 当前处于 干线运输中，客服可引用运输说明卡稳定预期。
SHP-0055,ORD-2026-0055,TRK2026030055,AeroLink,bonded_warehouse_prestocked,宁波/郑州保税仓（前置）,天津,华北,in_transit,干线运输中,released,跨境运输途中，暂无异常,2026-04-17T21:35:00,2026-04-15T21:35:00,2026-04-18T21:35:00,2026-04-11T21:35:00,2026-04-12T21:35:00,,none,,TRK2026030055 当前处于 干线运输中，客服可引用运输说明卡稳定预期。
SHP-0056,ORD-2026-0056,TRK2026030056,AeroLink,bonded_warehouse_prestocked,宁波/郑州保税仓（前置）,深圳,华南,customs_clearance,清关处理中,pending,等待清关放行，属于正常耗时节点,2026-04-12T15:35:00,2026-04-16T15:35:00,2026-04-19T15:35:00,2026-04-12T15:35:00,2026-04-13T15:35:00,,none,,TRK2026030056 当前处于 清关处理中，客服可引用运输说明卡稳定预期。
SHP-0057,ORD-2026-0057,TRK2026030057,AeroLink,bonded_warehouse_prestocked,宁波/郑州保税仓（前置）,广州,华南,out_for_delivery,国内派送中,released,末端快递已派件,2026-04-14T09:35:00,2026-04-17T09:35:00,2026-04-20T09:35:00,2026-04-13T09:35:00,2026-04-14T09:35:00,,none,,TRK2026030057 当前处于 国内派送中，客服可引用运输说明卡稳定预期。
SHP-0058,ORD-2026-0058,TRK2026030058,AeroLink,bonded_warehouse_prestocked,宁波/郑州保税仓（前置）,厦门,华南,label_created,等待干线出库,pending,订单已建单，等待仓库出库,2026-04-16T03:35:00,2026-04-18T03:35:00,2026-04-21T03:35:00,2026-04-14T03:35:00,2026-04-15T03:35:00,,none,,TRK2026030058 当前处于 等待干线出库，客服可引用运输说明卡稳定预期。
SHP-0059,ORD-2026-0059,TRK2026030059,AeroLink,bonded_warehouse_prestocked,宁波/郑州保税仓（前置）,成都,西南,exception,物流异常待复核,pending,出现箱体破损或转运延迟，需要人工排查,2026-04-17T21:35:00,2026-04-18T21:35:00,2026-04-21T21:35:00,2026-04-14T21:35:00,2026-04-15T21:35:00,,delay,箱体压痕待核查,TRK2026030059 当前处于 物流异常待复核，客服可引用运输说明卡稳定预期。
SHP-0060,ORD-2026-0060,TRK2026030060,AeroLink,bonded_warehouse_prestocked,宁波/郑州保税仓（前置）,重庆,西南,cancelled,订单已取消,pending,用户取消或支付失败后终止发运,2026-04-19T15:35:00,2026-04-19T15:35:00,2026-04-22T15:35:00,2026-04-15T15:35:00,2026-04-16T15:35:00,,cancel,,TRK2026030060 当前处于 订单已取消，客服可引用运输说明卡稳定预期。
SHP-0061,ORD-2026-0061,TRK2026030061,OceanBridge,sea,新加坡港口集货仓,上海,华东,delivered,末端签收完成,released,签收成功，建议引导确认是否存在外观/功能问题,2026-04-21T09:35:00,2026-05-02T09:35:00,2026-05-11T09:35:00,2026-04-16T09:35:00,2026-04-29T09:35:00,2026-05-03 09:35:00,none,,TRK2026030061 当前处于 末端签收完成，客服可引用运输说明卡稳定预期。
SHP-0062,ORD-2026-0062,TRK2026030062,OceanBridge,sea,新加坡港口集货仓,杭州,华东,delivered,末端签收完成,released,签收成功，建议引导确认是否存在外观/功能问题,2026-04-23T03:35:00,2026-05-03T03:35:00,2026-05-12T03:35:00,2026-04-17T03:35:00,2026-04-30T03:35:00,2026-05-04 03:35:00,none,,TRK2026030062 当前处于 末端签收完成，客服可引用运输说明卡稳定预期。
SHP-0063,ORD-2026-0063,TRK2026030063,OceanBridge,sea,新加坡港口集货仓,苏州,华东,delivered,末端签收完成,released,签收成功，建议引导确认是否存在外观/功能问题,2026-04-24T21:35:00,2026-05-03T21:35:00,2026-05-12T21:35:00,2026-04-17T21:35:00,2026-04-30T21:35:00,2026-05-04 21:35:00,none,,TRK2026030063 当前处于 末端签收完成，客服可引用运输说明卡稳定预期。
SHP-0064,ORD-2026-0064,TRK2026030064,OceanBridge,sea,新加坡港口集货仓,北京,华北,in_transit,干线运输中,released,跨境运输途中，暂无异常,2026-04-26T15:35:00,2026-05-04T15:35:00,2026-05-13T15:35:00,2026-04-18T15:35:00,2026-05-01T15:35:00,,none,,TRK2026030064 当前处于 干线运输中，客服可引用运输说明卡稳定预期。
SHP-0065,ORD-2026-0065,TRK2026030065,OceanBridge,sea,新加坡港口集货仓,天津,华北,in_transit,干线运输中,released,跨境运输途中，暂无异常,2026-04-28T09:35:00,2026-05-05T09:35:00,2026-05-14T09:35:00,2026-04-19T09:35:00,2026-05-02T09:35:00,,none,,TRK2026030065 当前处于 干线运输中，客服可引用运输说明卡稳定预期。
SHP-0066,ORD-2026-0066,TRK2026030066,OceanBridge,sea,新加坡港口集货仓,深圳,华南,customs_clearance,清关处理中,pending,等待清关放行，属于正常耗时节点,2026-04-30T03:35:00,2026-05-06T03:35:00,2026-05-15T03:35:00,2026-04-20T03:35:00,2026-05-03T03:35:00,,none,,TRK2026030066 当前处于 清关处理中，客服可引用运输说明卡稳定预期。
SHP-0067,ORD-2026-0067,TRK2026030067,OceanBridge,sea,新加坡/马来西亚港口集货仓,广州,华南,out_for_delivery,国内派送中,released,末端快递已派件,2026-04-20T21:35:00,2026-05-06T21:35:00,2026-05-15T21:35:00,2026-04-20T21:35:00,2026-05-03T21:35:00,,none,,TRK2026030067 当前处于 国内派送中，客服可引用运输说明卡稳定预期。
SHP-0068,ORD-2026-0068,TRK2026030068,OceanBridge,sea,新加坡/马来西亚港口集货仓,厦门,华南,label_created,等待干线出库,pending,订单已建单，等待仓库出库,2026-04-22T15:35:00,2026-05-07T15:35:00,2026-05-16T15:35:00,2026-04-21T15:35:00,2026-05-04T15:35:00,,none,,TRK2026030068 当前处于 等待干线出库，客服可引用运输说明卡稳定预期。
